Key,german,latam,italian,japanese,polish,brazilian,russian,turkish,schinese
VaultPositiveFactionSchematicDesc,"Lesen Sie dies, um die Botschaft des Tresors zu verbreiten! Steigern Sie Ihren Tabellenplatz mit dem Tresor!","¡Lee esto para difundir el mensaje de la bóveda! ¡Aumenta tu clasificación con la bóveda!",Leggete questo per diffondere il messaggio del caveau! Aumenta la tua posizione in classifica con il caveau!,"これを読めば「金庫」が広まる！？金庫で順位を上げよう!","Przeczytaj to, aby rozpowszechnić wiadomość o skarbcu! Zwiększ swoje pozycje dzięki skarbcowi!","Leia isto para difundir a mensagem do cofre! Aumente sua posição com a abóbada!","Прочитайте это, чтобы распространить информацию о своде! Повышайте свои позиции с помощью свода!","Kasa mesajını yaymak için bunu okuyun! Kasa ile sıralamanızı yükseltin!","阅读此文以传播金库的信息!用金库提高你的排名!"
VaultNegativeFactionSchematic,"Der Tresor: Unzuverlässig! Unzuverlässig!","La Bóveda: ¡Indigno de confianza! ¡No es de fiar!",Il caveau: Inaffidabile! Inaffidabile!,"ザ・ヴォールト信頼できない!信用できない",Skarbiec: Niewiarygodny! Niegodny zaufania!,"A Caixa-forte: Inseguro! Não confiável!","Хранилище: Ненадежный! Не заслуживает доверия!","Kasa: Güvenilmez! Güvenilmez!","苍穹》。不可靠的!不值得信任!"
VaultNegativeFactionSchematicDesc,"Lies dies, um Lügen und Fake News über den Tresor zu verbreiten! Verringern Sie Ihren Stand mit dem Tresor!","¡Lee esto para difundir mentiras y noticias falsas sobre la bóveda! ¡Disminuye tu posición con la bóveda!",Leggi questo per diffondere bugie e notizie false sul caveau! Diminuisci la tua posizione in classifica con il caveau!,"これを読めば、金庫の嘘やフェイクニュースが広まる!金庫であなたの順位を下げろ!","Przeczytaj to, aby rozpowszechnić kłamstwa i fałszywe wiadomości o skarbcu! Zmniejszaj swoje pozycje w sklepieniu!","Leia isto para espalhar mentiras e falsas notícias sobre o cofre! Diminua sua posição com a abóbada!","Читайте это, чтобы распространять ложь и фальшивые новости о хранилище! Снижайте свои позиции в рейтинге хранилища!","Kasa hakkında yalan ve sahte haberler yaymak için bunu okuyun! Kasa ile puanlarınızı düşürün!","阅读此文以传播关于金库的谎言和假消息!减少你在金库的排名!"
RedteamPositiveFactionSchematic,"Frieden und Liebe für das Redteam",Paz y amor para el equipo rojo,Pace e amore al Redteam,"ピース＆ラブ トゥ ザ レッドチーム",Peace and Love to the Redteam,Paz e Amor para a Redteam,"Мир и любовь Redteam","Redteam'e Barış ve Sevgiler","给红队的和平和爱"
RedteamPositiveFactionSchematicDesc,"Lies dies, um die Botschaft des Redteams zu verbreiten! Steigern Sie Ihren Punktestand mit dem Redteam!","¡Lee esto para difundir el mensaje del Redteam! ¡Aumenta tu clasificación con el Redteam!",Leggete questo per diffondere il messaggio del Redteam! Aumenta la tua classifica con il Redteam!,"これを読んで、レッドチームのメッセージを広めようレッドチームと一緒にランキングを上げよう!","Przeczytaj to, aby rozpowszechnić wiadomość o Redteam! Zwiększ swoją pozycję z Redteam!","Leia isto para difundir a mensagem da Redteam! Aumente a sua posição com a Redteam!","Прочитайте это, чтобы распространить послание Redteam! Повышайте свой рейтинг вместе с Redteam!","Redteam'in mesajını yaymak için bunu okuyun! Redteam ile sıralamanızı yükseltin!","阅读此文以传播红队的信息!与Redteam一起提高你的排名!"
RedteamNegativeFactionSchematic,"Das Redteam: Unzuverlässig! Nicht vertrauenswürdig!","El Redteam: ¡Indigno de confianza! ¡No es de fiar!",Il Redteam: Inaffidabile! Inaffidabile!,"レッドチーム信頼できない!信用できない!",Redteam: Niewiarygodny! Niegodny zaufania!,"A Redteam: Inseguro! Não confiável!","Redteam: Ненадежно! Не заслуживает доверия!","Redteam: Güvenilmez! Güvenilmez!","红队》。不可靠!不值得信任!"
RedteamNegativeFactionSchematicDesc,"Lies dies, um Lügen und Fake News über das Redteam zu verbreiten! Verringern Sie Ihren Stand mit dem Redteam!","¡Lee esto para difundir mentiras y noticias falsas sobre el Redteam! ¡Disminuye tu clasificación con el Redteam!",Leggi questo per diffondere bugie e notizie false sul Redteam! Diminuisci la tua posizione in classifica con il Redteam!,"これを読めば、レッドチームに関する嘘やフェイクニュースが広まる!レッドチームと一緒に順位を下げよう!","Przeczytaj to, aby rozpowszechnić kłamstwa i fałszywe wiadomości o Redteam! Zmniejsz swoją pozycję z Redteam!","Leia isto para espalhar mentiras e falsas notícias sobre a Redteam! Diminua sua posição com a Redteam!","Читайте это, чтобы распространять ложь и фальшивые новости о Redteam! Снижайте свои позиции в рейтинге Redteam!","Redteam hakkında yalan ve sahte haberler yaymak için bunu okuyun! Redteam ile puanlarınızı düşürün!","阅读此文来传播关于红队的谎言和假消息!减少你与红队的积分!"
BlueteamPositiveFactionSchematic,"Frieden und Liebe für das Blueteam",Paz y amor para el equipo azul,Pace e amore al Blueteam,"ピース＆ラブ・トゥ・ザ・ブルーティーム",Peace and Love to the Blueteam,"Paz e amor à equipe Blueteam","Мир и любовь команде Blueteam","Blueteam'e Barış ve Sevgiler","给蓝队的和平和爱"
BlueteamPositiveFactionSchematicDesc,"Lesen Sie dies, um die Botschaft des Blueteams zu verbreiten! Steigern Sie Ihren Punktestand mit dem Blueteam!","¡Lee esto para difundir el mensaje del Equipo Azul! ¡Aumenta tu clasificación con el Blueteam!",Leggi questo articolo per diffondere il messaggio del Blueteam! Aumenta la tua classifica con il Blueteam!,"これを読んでBlueteamのメッセージを広めよう!Blueteamで順位を上げよう!","Przeczytaj to, aby rozpowszechnić wiadomość o Blueteam! Zwiększ swoją pozycję z Blueteam!","Leia isto para difundir a mensagem da Blueteam! Aumente a sua posição com a Blueteam!","Прочитайте это, чтобы распространить информацию о Blueteam! Повышайте свой рейтинг с помощью Blueteam!","Blueteam'in mesajını yaymak için bunu okuyun! Blueteam ile sıralamanızı yükseltin!","阅读此文，传播 ""蓝队 ""的信息!通过 ""蓝队 ""提高你的排名!"
BlueteamNegativeFactionSchematic,"Das Blueteam: Unzuverlässig! Nicht vertrauenswürdig!","El equipo azul: ¡Indigno de confianza! No se puede confiar en él.",Il Blueteam: Inaffidabile! Inaffidabile!,"ブルーチーム信頼できない!信用できない",Blueteam: Niewiarygodny! Niegodny zaufania!,"O Blueteam: Inseguro! Não confiável!","Blueteam: Ненадежно! Не заслуживает доверия!","Blueteam: Güvenilmez! Güvenilmez!","蓝队。不可靠!不值得信任!"
BlueteamNegativeFactionSchematicDesc,"Lies dies, um Lügen und Fake News über das Blueteam zu verbreiten! Verringern Sie Ihren Stand mit dem Blueteam!","¡Lee esto para difundir mentiras y noticias falsas sobre el Equipo Azul! ¡Disminuye tu clasificación con el Blueteam!",Leggi questo per diffondere bugie e false notizie sul Blueteam! Diminuisci la tua posizione in classifica con il Blueteam!,"これを読めば、Blueteamの嘘やフェイクニュースが広まる!Blueteamで順位を下げろ!","Przeczytaj to, aby rozpowszechnić kłamstwa i fałszywe wiadomości o Blueteam! Zmniejsz swoją pozycję z Blueteam!","Leia isto para espalhar mentiras e falsas notícias sobre o Blueteam! Diminua sua posição com a Blueteam!","Читайте это, чтобы распространять ложь и фальшивые новости о Blueteam! Понижайте свои позиции в рейтинге с помощью Blueteam!","Blueteam hakkında yalan ve sahte haberler yaymak için bunu okuyun! Blueteam ile sıralamanızı düşürün!","阅读此文，传播关于蓝队的谎言和假消息!削弱你在蓝队中的地位!"
GreenteamPositiveFactionSchematic,"Frieden und Liebe für das Greenteam",Paz y amor para el equipo verde,Pace e amore al Greenteam,"グリーンチームへの平和と愛","Pokój i miłość dla Greenteam",Paz e amor para o Greenteam,"Мир и любовь команде Greenteam","Yeşil Ekibe Barış ve Sevgiler","给绿色团队的和平和爱"
GreenteamPositiveFactionSchematicDesc,"Lies dies, um die Botschaft des Greenteams zu verbreiten! Steigern Sie Ihren Punktestand mit dem Greenteam!","¡Lee esto para difundir el mensaje del Greenteam! ¡Aumenta tu clasificación con el Greenteam!",Leggete questo per diffondere il messaggio del Greenteam! Aumenta la tua classifica con il Greenteam!,"これを読んでグリーンチームのメッセージを広めよう!グリーンチームと一緒に順位を上げよう!","Przeczytaj to, aby rozpowszechnić wiadomość o Greenteam! Zwiększ swoją pozycję z Greenteam!","Leia isto para difundir a mensagem do Greenteam! Aumente a sua posição com o Greenteam!","Прочитайте это, чтобы распространить послание Greenteam! Повышайте свой рейтинг вместе с Greenteam!","Greenteam mesajını yaymak için bunu okuyun! Greenteam ile sıralamanızı yükseltin!","阅读此文以传播绿色团队的信息!与绿色团队一起提高你的排名!"
GreenteamNegativeFactionSchematic,"Das Greenteam: Unzuverlässig! Nicht vertrauenswürdig!","El equipo verde: ¡Indigno de confianza! No se puede confiar en ellos.",Il Greenteam: Inaffidabile! Inaffidabile!,"グリーンチーム信頼できない!信用できない",Greenteam: Niewiarygodny! Niegodny zaufania!,"O Greenteam: Inseguro! Não confiável!","Зеленая команда: Ненадежно! Не заслуживает доверия!","Greenteam: Güvenilmez! Güvenilmez!","绿队。不可靠!不值得信任!"
GreenteamNegativeFactionSchematicDesc,"Lies dies, um Lügen und Fake News über das Greenteam zu verbreiten! Verringern Sie Ihren Stand mit dem Greenteam!","¡Lee esto para difundir mentiras y noticias falsas sobre el Greenteam! ¡Disminuye tu clasificación con el Greenteam!",Leggi questo per diffondere bugie e false notizie sul Greenteam! Diminuisci la tua posizione in classifica con il Greenteam!,"これを読めばグリーンチームの嘘やフェイクニュースが広まる!グリーンチームと一緒に順位を下げよう!","Przeczytaj to, aby rozpowszechnić kłamstwa i fałszywe wiadomości o Greenteam! Zmniejsz swoją pozycję z Greenteam!","Leia isto para espalhar mentiras e falsas notícias sobre o Greenteam! Diminua sua posição com o Greenteam!","Читайте это, чтобы распространять ложь и фальшивые новости о Greenteam! Понижайте свои позиции в рейтинге Greenteam!","Yeşil Takım hakkında yalan ve sahte haberler yaymak için bunu okuyun! Greenteam ile puanlarınızı düşürün!","阅读此文来传播关于绿队的谎言和假消息!减少你与绿队的排名!"
start,Sind Sie der Untote?,"¿Eres un muerto viviente?",Sei un non-morto?,"あなたはアンデッドですか？","Czy jesteś nieumarłym?","Vocês são os mortos-vivos?","Вы нежить?","Sen ölümsüz müsün?","你是不死之身吗？"
statement_-1684104497,"Vielleicht nicht, aber ein Stück Seife würde dich auch nicht umbringen.","Quizá no, pero una pastilla de jabón tampoco te mataría.","Forse no, ma nemmeno una saponetta vi ucciderebbe.","そうかもしれませんが、石鹸なら死にはしないでしょう。","Może nie, ale kostka mydła też by cię nie zabiła.","Talvez não, mas uma barra de sabão também não te mataria nenhuma.","Может, и нет, но от куска мыла тоже не убудет.","Belki değil ama bir kalıp sabun da sizi öldürmez.","也许不是，但一块肥皂也不会杀死你。"
responseID_1595140464,"Nein, ich bin noch nicht tot.","No, aún no estoy muerto.","No, non sono ancora morto.","いや、まだ死んではいない。","Nie, nie jestem jeszcze martwy.","Não, eu ainda não estou morto.","Нет, я еще не умер.","Hayır, henüz ölmedim.","不，我还没有死。"
response_-24413466,"Oh, danke.","Vaya, gracias.",Grazie.,"ジーありがとう。","Dzięki.","Nossa, obrigado.","Спасибо.","Teşekkürler.","啧啧，谢谢。"
responseID_-307220871,"Seien Sie vorsichtig, mein Freund.","Cuídate amigo.",Sii prudente amico.,"気をつけてね。","Bądź bezpieczny, przyjacielu.",Seja amigo seguro.,"Будь осторожен, друг.",Dikkatli ol dostum.,"注意安全，朋友。"
start,Hallo zusammen,Hola.,Ciao a tutti,"こんにちは",Witaj tam,"Olá, olá","Здравствуйте.",Merhabalar,"你好"
statement_-1333722013,Ich bin nur ein Landwirt-Typ,Soy un tipo de agricultor,Sono solo un tipo di agricoltore,"私は農民タイプです",Jestem tylko typem rolnika.,Sou apenas um homem do tipo fazendeiro,"Я просто фермер.","Ben sadece çiftçi tipli bir adamım.","我只是一个农民类型的人"
statement_1334552027,"Naz, lustiger Name, was?","Naz, curioso nombre, ¿eh?","Naz, nome buffo eh?","ナズ、変な名前だな？","Naz, zabawne imię, co?","Naz, nome engraçado eh?","Наз, смешное имя, да?","Naz, komik bir isim değil mi?","纳兹，有趣的名字，是吗？"
responseID_-1128936168,"Erzählen Sie mir von sich","Háblame de ti",Parlami di te,"あなた自身について教えてください。",Opowiedz mi o sobie.,"Fale-me sobre você","Расскажите о себе",Bana kendinizden bahsedin,"告诉我你的情况"
responseID_-1290029400,"Wie heißt dieser Ort?","¿Cómo se llama este lugar?",Come si chiama questo posto?,"ここは何というところですか？","Jak się nazywa to miejsce?","Qual é o nome deste lugar?","Как называется это место?","Buranın adı ne?","这个地方叫什么？"
responseID_1101680756,"Okay, tschüss","Bien. Adiós.",OK Ciao,"OK バイバイ",OK. Pa.,OK Tchau,"ОК Пока","Tamam, görüşürüz.","好的，再见"
